period,origin_code,origin,destination_code,destination,people,male,female,age_0_14,age_0_14_male,age_0_14_female,age_15_24,age_15_24_male,age_15_24_female,age_25_39,age_25_39_male,age_25_39_female,age_40_54,age_40_54_male,age_40_54_female,age_55_64,age_55_64_male,age_55_64_female,age_65_plus,age_65_plus_male,age_65_plus_female,level,source_status,source_endpoint
202605,3100000000,울산광역시,5200000000,전북특별자치도,38,27,11,2,0,2,8,5,3,14,11,3,7,6,1,3,2,1,4,3,1,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,1100000000,서울특별시,346,167,179,16,12,4,79,31,48,158,81,77,51,23,28,21,10,11,21,10,11,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,2600000000,부산광역시,47,21,26,3,0,3,12,5,7,22,13,9,6,2,4,3,1,2,1,0,1,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,2700000000,대구광역시,50,31,19,4,2,2,13,9,4,13,10,3,8,4,4,7,3,4,5,3,2,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,2800000000,인천광역시,53,28,25,3,2,1,17,7,10,20,12,8,10,5,5,1,1,0,2,1,1,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,2900000000,광주광역시,26,12,14,0,0,0,6,2,4,10,4,6,4,3,1,3,1,2,3,2,1,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,3000000000,대전광역시,465,246,219,34,18,16,72,27,45,154,86,68,100,62,38,47,28,19,58,25,33,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,3100000000,울산광역시,11,7,4,1,0,1,2,2,0,7,4,3,1,1,0,0,0,0,0,0,0,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,3600000000,세종특별자치시,1246,629,617,154,86,68,112,45,67,439,227,212,299,162,137,142,65,77,100,44,56,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,4100000000,경기도,353,166,187,31,12,19,73,31,42,121,58,63,68,37,31,35,20,15,25,8,17,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,4300000000,충청북도,302,158,144,16,8,8,35,16,19,105,54,51,71,43,28,42,17,25,33,20,13,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,4400000000,충청남도,309,163,146,21,10,11,44,16,28,109,61,48,66,37,29,39,27,12,30,12,18,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,4600000000,전라남도,35,17,18,3,3,0,7,2,5,10,5,5,9,3,6,5,3,2,1,1,0,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,4700000000,경상북도,59,30,29,3,2,1,17,9,8,18,8,10,7,4,3,12,7,5,2,0,2,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,4800000000,경상남도,53,30,23,2,2,0,8,4,4,19,11,8,12,7,5,6,3,3,6,3,3,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,5000000000,제주특별자치도,14,7,7,0,0,0,1,1,0,8,4,4,4,2,2,1,0,1,0,0,0,sido,official_mois,ppltnDataStus/selectPpltnDataStus
